,Does he have health probems ?,Does he have social family problems?,Is there a variation between his real qualifications and its results?,Does he have any difficulties?,Does your child avoid activities that require reading to complete?,he ?it fast/slow while reading ?,"When reading aloud, does your child repeat words, change their order, or mix up similar letters (?\ or ?\? or ?\? or p/b or f/v or k/g/jÉ) without notice?",Does he have trouble reading unknown words?,Does he face difficulty understanding what he read?,Does he reflect numbers? {Ex 81 -> 18},Does he have trouble writing numbers clearly and distinctly from letters?,Does he make misspellings in his homework?,Is he having trouble writing on the line and inside the margins?,Does he have a problem copying?,Does it confuse symbols and/or mathematical operations?,Does he have trouble comparing the relative size of integers and/or fractions?,Does he have difficulties with concepts related to time and/or money?,Is it difficult to understand the statement of calculations and solve it?,Is he having difficulties in calculating? {Facing problems in performing arithmetic operations such as addition and subtraction ...},Is he having trouble maintaining attention for more than 15 minutes?,It takes a long time to complete simple tasks?,Does he have a hard time bearing boredom or strenuous tasks?,TypeTrouble
0,No,No,Yeah,In particular article,Repeatedly / always,Average,Rarely / never,Sometimes,Rarely / never,Rarely / never,Rarely / never,Rarely / never,Repeatedly / always,Repeatedly / always,Sometimes,Repeatedly / always,Sometimes,Sometimes,Repeatedly / always,Repeatedly / always,Rarely / never,Repeatedly / always,Type_dyscalculie
1,No,No,No,In particular article,Sometimes,Average,Repeatedly / always,Rarely / never,Sometimes,Sometimes,Rarely / never,Rarely / never,Repeatedly / always,Rarely / never,Sometimes,Repeatedly / always,Repeatedly / always,Rarely / never,Sometimes,Repeatedly / always,Rarely / never,Repeatedly / always,Concentration
2,Yeah,Yeah,Yeah,In particular article,Rarely / never,Average,Sometimes,Repeatedly / always,Repeatedly / always,Rarely / never,Rarely / never,Repeatedly / always,Sometimes,Rarely / never,Rarely / never,Sometimes,Sometimes,Repeatedly / always,Repeatedly / always,Sometimes,Repeatedly / always,Rarely / never,Type_dyslexie
3,No,No,Yeah,In all materials,Sometimes,Slow,Repeatedly / always,Rarely / never,Sometimes,Sometimes,Rarely / never,Repeatedly / always,Sometimes,Repeatedly / always,Rarely / never,Sometimes,Repeatedly / always,Sometimes,Sometimes,Repeatedly / always,Repeatedly / always,Sometimes,Concentration
4,Yeah,Yeah,No,In particular article,Repeatedly / always,Average,Repeatedly / always,Repeatedly / always,Rarely / never,Sometimes,Rarely / never,Repeatedly / always,Rarely / never,Rarely / never,Rarely / never,Rarely / never,Rarely / never,Rarely / never,Rarely / never,Rarely / never,Rarely / never,Rarely / never,Type_dyslexie
5,Yeah,Yeah,No,In all materials,Repeatedly / always,Fast,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Repeatedly / always,Repeatedly / always,Rarely / never,Rarely / never,Sometimes,Repeatedly / always,Sometimes,Repeatedly / always,Repeatedly / always,Sometimes,Concentration
6,Yeah,No,Yeah,In all materials,Repeatedly / always,Fast,Rarely / never,Sometimes,Sometimes,Sometimes,Rarely / never,Rarely / never,Rarely / never,Rarely / never,Repeatedly / always,Sometimes,Sometimes,Repeatedly / always,Rarely / never,Rarely / never,Repeatedly / always,Sometimes,Type_dyscalculie
7,Yeah,Yeah,Yeah,In particular article,Rarely / never,Slow,Sometimes,Sometimes,Sometimes,Sometimes,Rarely / never,Repeatedly / always,Rarely / never,Repeatedly / always,Repeatedly / always,Repeatedly / always,Sometimes,Repeatedly / always,Rarely / never,Repeatedly / always,Sometimes,Repeatedly / always,Concentration
8,Yeah,No,Yeah,In particular article,Rarely / never,Fast,Repeatedly / always,Rarely / never,Sometimes,Repeatedly / always,Sometimes,Sometimes,Sometimes,Rarely / never,Sometimes,Rarely / never,Repeatedly / always,Rarely / never,Rarely / never,Sometimes,Sometimes,Sometimes,Type_dysgraphie
9,Yeah,Yeah,No,In all materials,Rarely / never,Fast,Sometimes,Rarely / never,Rarely / never,Rarely / never,Rarely / never,Rarely / never,Repeatedly / always,Repeatedly / always,Sometimes,Rarely / never,Rarely / never,Repeatedly / always,Rarely / never,Rarely / never,Repeatedly / always,Sometimes,Concentration
10,No,Yeah,No,In particular article,Sometimes,Average,Repeatedly / always,Repeatedly / always,Sometimes,Rarely / never,Sometimes,Repeatedly / always,Rarely / never,Repeatedly / always,Sometimes,Repeatedly / always,Sometimes,Rarely / never,Repeatedly / always,Repeatedly / always,Repeatedly / always,Sometimes,Concentration
11,No,No,Yeah,In all materials,Rarely / never,Fast,Repeatedly / always,Repeatedly / always,Rarely / never,Repeatedly / always,Repeatedly / always,Repeatedly / always,Rarely / never,Sometimes,Sometimes,Sometimes,Repeatedly / always,Rarely / never,Sometimes,Sometimes,Sometimes,Repeatedly / always,Type_dysgraphie
12,Yeah,No,No,In all materials,Rarely / never,Fast,Sometimes,Sometimes,Rarely / never,Rarely / never,Rarely / never,Rarely / never,Rarely / never,Repeatedly / always,Repeatedly / always,Rarely / never,Repeatedly / always,Repeatedly / always,Repeatedly / always,Repeatedly / always,Rarely / never,Sometimes,Type_dyscalculie
13,Yeah,Yeah,No,In all materials,Repeatedly / always,Average,Repeatedly / always,Repeatedly / always,Sometimes,Repeatedly / always,Sometimes,Repeatedly / always,Sometimes,Repeatedly / always,Sometimes,Rarely / never,Sometimes,Rarely / never,Repeatedly / always,Repeatedly / always,Repeatedly / always,Sometimes,Concentration
14,Yeah,Yeah,No,In all materials,Rarely / never,Average,Sometimes,Rarely / never,Repeatedly / always,Repeatedly / always,Sometimes,Sometimes,Rarely / never,Repeatedly / always,Rarely / never,Sometimes,Repeatedly / always,Repeatedly / always,Repeatedly / always,Sometimes,Sometimes,Sometimes,Type_dyscalculie
15,No,No,No,In all materials,Rarely / never,Average,Rarely / never,Repeatedly / always,Rarely / never,Rarely / never,Rarely / never,Rarely / never,Rarely / never,Repeatedly / always,Sometimes,Rarely / never,Rarely / never,Rarely / never,Repeatedly / always,Repeatedly / always,Repeatedly / always,Repeatedly / always,Concentration
16,No,No,Yeah,In particular article,Rarely / never,Average,Repeatedly / always,Sometimes,Rarely / never,Rarely / never,Sometimes,Sometimes,Rarely / never,Sometimes,Rarely / never,Sometimes,Sometimes,Repeatedly / always,Sometimes,Sometimes,Sometimes,Rarely / never,Type_dyscalculie
17,Yeah,No,Yeah,In particular article,Rarely / never,Average,Rarely / never,Repeatedly / always,Sometimes,Sometimes,Rarely / never,Sometimes,Rarely / never,Sometimes,Rarely / never,Sometimes,Rarely / never,Repeatedly / always,Rarely / never,Rarely / never,Sometimes,Sometimes,Type_dyslexie
18,Yeah,No,Yeah,In all materials,Rarely / never,Fast,Repeatedly / always,Repeatedly / always,Sometimes,Sometimes,Sometimes,Rarely / never,Sometimes,Rarely / never,Rarely / never,Rarely / never,Sometimes,Sometimes,Rarely / never,Rarely / never,Sometimes,Repeatedly / always,Type_dyslexie
19,No,Yeah,Yeah,In all materials,Repeatedly / always,Fast,Rarely / never,Rarely / never,Repeatedly / always,Sometimes,Rarely / never,Sometimes,Rarely / never,Rarely / never,Rarely / never,Rarely / never,Repeatedly / always,Repeatedly / always,Rarely / never,Sometimes,Repeatedly / always,Sometimes,Concentration
20,Yeah,No,Yeah,In all materials,Sometimes,Fast,Sometimes,Sometimes,Repeatedly / always,Rarely / never,Rarely / never,Rarely / never,Sometimes,Rarely / never,Repeatedly / always,Rarely / never,Repeatedly / always,Repeatedly / always,Repeatedly / always,Repeatedly / always,Rarely / never,Sometimes,Type_dyscalculie
21,No,Yeah,Yeah,In particular article,Repeatedly / always,Fast,Repeatedly / always,Sometimes,Repeatedly / always,Rarely / never,Repeatedly / always,Sometimes,Rarely / never,Repeatedly / always,Sometimes,Rarely / never,Repeatedly / always,Sometimes,Repeatedly / always,Repeatedly / always,Repeatedly / always,Sometimes,Concentration
22,Yeah,No,Yeah,In all materials,Sometimes,Average,Rarely / never,Sometimes,Sometimes,Sometimes,Rarely / never,Repeatedly / always,Sometimes,Sometimes,Repeatedly / always,Rarely / never,Rarely / never,Sometimes,Rarely / never,Sometimes,Repeatedly / always,Repeatedly / always,Concentration
